CustomerID,TotalSpent,OrderCount,FirstInvoiceDate,LastInvoiceDate,CustomerLifespan,Recency,PurchaseFrequency,Segment
12346.0,77183.6,1,2011-01-18 10:01:00,2011-01-18 10:01:00,1,325,30.0,Pamper
12347.0,4310.0,7,2010-12-07 14:57:00,2011-12-07 15:52:00,365,1,0.58,Pamper
12357.0,6207.67,1,2011-11-06 16:07:00,2011-11-06 16:07:00,1,32,30.0,Pamper
12359.0,6372.58,4,2011-01-12 12:43:00,2011-10-13 12:47:00,274,57,0.44,Pamper
12362.0,4737.23,10,2011-02-17 10:30:00,2011-12-06 15:40:00,292,2,1.03,Pamper
12378.0,4008.62,1,2011-08-02 10:34:00,2011-08-02 10:34:00,1,129,30.0,Pamper
12409.0,11072.67,3,2011-06-10 12:19:00,2011-09-22 10:38:00,103,78,0.87,Pamper
12415.0,124564.53,20,2011-01-06 11:12:00,2011-11-15 14:22:00,313,23,1.92,Pamper
12428.0,6405.26,8,2011-03-01 09:33:00,2011-11-14 08:22:00,257,25,0.93,Pamper
12431.0,6382.45,15,2010-12-01 10:03:00,2011-11-04 11:55:00,338,35,1.33,Pamper
12432.0,4359.32,4,2011-06-20 13:27:00,2011-10-28 11:43:00,129,42,0.93,Pamper
12433.0,13375.87,7,2010-12-01 13:24:00,2011-12-09 10:02:00,372,0,0.56,Pamper
12435.0,7829.89,2,2011-03-17 07:40:00,2011-09-21 09:06:00,188,79,0.32,Pamper
12437.0,4447.41,18,2011-01-12 14:13:00,2011-12-08 11:35:00,329,1,1.64,Pamper
12444.0,4085.46,5,2011-06-21 14:00:00,2011-11-18 13:23:00,149,20,1.01,Pamper
12451.0,8995.52,5,2011-01-19 09:05:00,2011-11-29 08:40:00,313,10,0.48,Pamper
12471.0,17424.05,27,2010-12-10 09:35:00,2011-12-07 15:43:00,362,1,2.24,Pamper
12472.0,6068.11,7,2010-12-05 14:19:00,2011-11-07 14:01:00,336,31,0.62,Pamper
12474.0,6745.79,18,2011-01-14 10:06:00,2011-11-22 14:39:00,312,16,1.73,Pamper
12476.0,5898.42,11,2010-12-13 14:39:00,2011-11-24 12:40:00,345,15,0.96,Pamper
12477.0,13219.74,6,2011-02-11 12:45:00,2011-11-17 09:51:00,278,22,0.65,Pamper
12481.0,5020.32,10,2010-12-09 10:13:00,2011-11-17 08:29:00,342,22,0.88,Pamper
12484.0,3953.72,4,2011-01-07 14:04:00,2011-11-04 15:18:00,301,34,0.4,Pamper
12490.0,4859.93,10,2011-01-14 09:13:00,2011-12-04 16:07:00,324,4,0.93,Pamper
12500.0,4059.82,11,2011-01-10 09:48:00,2011-11-16 16:20:00,310,22,1.06,Pamper
12524.0,3945.72,8,2011-01-10 10:35:00,2011-11-30 15:31:00,324,8,0.74,Pamper
12536.0,4279.71,1,2011-10-11 14:52:00,2011-10-11 14:52:00,1,58,30.0,Pamper
12539.0,5568.35,4,2011-01-10 09:11:00,2011-11-17 13:30:00,311,21,0.39,Pamper
12540.0,11580.24,17,2010-12-13 09:39:00,2011-11-20 11:31:00,342,19,1.49,Pamper
12557.0,11990.96,5,2010-12-03 12:20:00,2011-11-23 16:59:00,355,15,0.42,Pamper
12567.0,8609.28,10,2010-12-05 11:57:00,2011-11-17 11:02:00,346,22,0.87,Pamper
12583.0,6705.38,15,2010-12-01 08:45:00,2011-12-07 08:07:00,370,2,1.22,Pamper
12590.0,9341.26,1,2011-05-12 14:46:00,2011-05-12 14:46:00,1,210,30.0,Pamper
12621.0,12411.67,20,2010-12-09 10:16:00,2011-12-08 11:25:00,364,1,1.65,Pamper
12626.0,5954.48,9,2011-01-17 11:01:00,2011-11-16 16:06:00,303,22,0.89,Pamper
12627.0,4082.53,6,2011-07-22 13:59:00,2011-11-29 12:07:00,129,10,1.4,Pamper
12637.0,5823.9,8,2011-01-20 10:47:00,2011-10-03 13:46:00,256,66,0.94,Pamper
12664.0,4391.88,9,2011-01-21 11:42:00,2011-12-01 17:07:00,314,7,0.86,Pamper
12678.0,16331.46,9,2010-12-21 14:26:00,2011-10-28 13:04:00,310,41,0.87,Pamper
12681.0,12365.54,22,2010-12-07 10:08:00,2011-11-25 11:33:00,353,14,1.87,Pamper
12682.0,11028.22,31,2010-12-03 13:59:00,2011-12-06 10:00:00,367,3,2.53,Pamper
12683.0,7612.57,14,2010-12-09 10:37:00,2011-12-05 16:28:00,361,3,1.16,Pamper
12688.0,4873.81,1,2011-08-18 08:49:00,2011-08-18 08:49:00,1,113,30.0,Pamper
12700.0,4525.99,4,2011-05-08 16:10:00,2011-12-02 10:47:00,207,7,0.58,Pamper
12705.0,6382.29,8,2010-12-17 15:58:00,2011-11-24 13:17:00,341,14,0.7,Pamper
12709.0,9430.52,15,2010-12-08 09:49:00,2011-11-24 15:38:00,351,14,1.28,Pamper
12712.0,3928.13,13,2010-12-03 14:30:00,2011-11-11 08:19:00,342,28,1.14,Pamper
12714.0,4294.86,5,2011-02-18 10:53:00,2011-11-30 15:43:00,285,8,0.53,Pamper
12720.0,5115.7300000000005,25,2010-12-05 15:21:00,2011-12-07 08:03:00,366,2,2.05,Pamper
12731.0,18751.91,12,2010-12-10 10:56:00,2011-11-16 11:59:00,341,23,1.06,Pamper
12744.0,9120.39,4,2011-01-25 13:26:00,2011-10-14 14:54:00,262,55,0.46,Pamper
12747.0,4196.01,11,2010-12-05 15:38:00,2011-12-07 14:34:00,366,1,0.9,Pamper
12748.0,32317.32,206,2010-12-01 12:48:00,2011-12-09 12:20:00,372,0,16.61,Pamper
12749.0,4040.88,5,2011-05-10 15:25:00,2011-12-06 09:56:00,209,3,0.72,Pamper
12752.0,4366.78,1,2011-09-19 13:32:00,2011-09-19 13:32:00,1,80,30.0,Pamper
12753.0,21429.39,6,2010-12-12 11:44:00,2011-11-17 10:52:00,339,22,0.53,Pamper
12755.0,3811.95,2,2010-12-09 10:44:00,2011-03-04 12:42:00,85,280,0.71,Pamper
12757.0,4199.2,9,2011-05-12 19:01:00,2011-11-24 12:30:00,195,15,1.38,Pamper
12766.0,6457.63,7,2010-12-08 13:53:00,2011-12-06 08:46:00,362,3,0.58,Pamper
12779.0,3981.36,8,2010-12-03 13:40:00,2011-11-02 11:43:00,333,37,0.72,Pamper
12798.0,6977.04,3,2011-06-22 10:11:00,2011-11-29 15:52:00,160,9,0.56,Pamper
12830.0,6814.64,6,2011-06-21 10:53:00,2011-11-02 11:54:00,134,37,1.34,Pamper
