CustomerID,TotalSpent,OrderCount,FirstInvoiceDate,LastInvoiceDate,CustomerLifespan,Recency,PurchaseFrequency,Segment,SegmentLabel
12348.0,1437.24,4,2010-12-16 19:09:00,2011-09-25 13:13:00,282,74,0.43,0,BudgetRegular
12349.0,1457.55,1,2011-11-21 09:51:00,2011-11-21 09:51:00,1,18,30.0,1,BudgetIrregular
12350.0,294.4,1,2011-02-02 16:01:00,2011-02-02 16:01:00,1,309,30.0,3,HighSpendingIrregular
12352.0,1385.74,7,2011-02-16 12:33:00,2011-11-03 14:37:00,260,35,0.81,0,BudgetRegular
12353.0,89.0,1,2011-05-19 17:47:00,2011-05-19 17:47:00,1,203,30.0,3,HighSpendingIrregular
12354.0,1079.4,1,2011-04-21 13:11:00,2011-04-21 13:11:00,1,231,30.0,3,HighSpendingIrregular
12355.0,459.4,1,2011-05-09 13:49:00,2011-05-09 13:49:00,1,213,30.0,3,HighSpendingIrregular
12356.0,2487.43,3,2011-01-18 09:50:00,2011-11-17 08:40:00,302,22,0.3,2,HighValueIrregular
12358.0,928.06,2,2011-07-12 10:04:00,2011-12-08 10:26:00,149,1,0.4,0,BudgetRegular
12360.0,2302.06,3,2011-05-23 09:43:00,2011-10-18 15:22:00,148,51,0.61,2,HighValueIrregular
12361.0,174.9,1,2011-02-25 13:51:00,2011-02-25 13:51:00,1,286,30.0,3,HighSpendingIrregular
12363.0,552.0,2,2011-04-11 13:29:00,2011-08-22 10:18:00,132,109,0.45,0,BudgetRegular
12364.0,1208.1,4,2011-08-19 15:24:00,2011-12-02 10:22:00,104,7,1.15,0,BudgetRegular
12365.0,320.69,1,2011-02-21 13:51:00,2011-02-21 13:51:00,1,290,30.0,3,HighSpendingIrregular
12367.0,150.9,1,2011-12-05 16:48:00,2011-12-05 16:48:00,1,3,30.0,1,BudgetIrregular
12370.0,3425.69,4,2010-12-14 12:58:00,2011-10-19 14:51:00,309,50,0.39,2,HighValueIrregular
