CustomerID,TotalSpent,OrderCount,FirstInvoiceDate,LastInvoiceDate,CustomerLifespan,Recency,PurchaseFrequency
12348.0,1437.24,4,2010-12-16 19:09:00,2011-09-25 13:13:00,282,74,0.43
12349.0,1457.55,1,2011-11-21 09:51:00,2011-11-21 09:51:00,1,18,30.0
12350.0,294.4,1,2011-02-02 16:01:00,2011-02-02 16:01:00,1,309,30.0
12352.0,1385.74,7,2011-02-16 12:33:00,2011-11-03 14:37:00,260,35,0.81
12353.0,89.0,1,2011-05-19 17:47:00,2011-05-19 17:47:00,1,203,30.0
12354.0,1079.4,1,2011-04-21 13:11:00,2011-04-21 13:11:00,1,231,30.0
12355.0,459.4,1,2011-05-09 13:49:00,2011-05-09 13:49:00,1,213,30.0
12356.0,2487.43,3,2011-01-18 09:50:00,2011-11-17 08:40:00,302,22,0.3
12358.0,928.06,2,2011-07-12 10:04:00,2011-12-08 10:26:00,149,1,0.4
12360.0,2302.06,3,2011-05-23 09:43:00,2011-10-18 15:22:00,148,51,0.61
12361.0,174.9,1,2011-02-25 13:51:00,2011-02-25 13:51:00,1,286,30.0
12363.0,552.0,2,2011-04-11 13:29:00,2011-08-22 10:18:00,132,109,0.45
12364.0,1208.1,4,2011-08-19 15:24:00,2011-12-02 10:22:00,104,7,1.15
12365.0,320.69,1,2011-02-21 13:51:00,2011-02-21 13:51:00,1,290,30.0
12367.0,150.9,1,2011-12-05 16:48:00,2011-12-05 16:48:00,1,3,30.0
12370.0,3425.69,4,2010-12-14 12:58:00,2011-10-19 14:51:00,309,50,0.39
12371.0,1527.96,1,2011-10-11 10:43:00,2011-10-11 10:43:00,1,59,30.0
12372.0,1196.04,3,2011-02-16 12:46:00,2011-09-29 12:12:00,224,71,0.4
12373.0,324.6,1,2011-02-01 13:10:00,2011-02-01 13:10:00,1,310,30.0
12374.0,622.93,1,2011-11-14 15:37:00,2011-11-14 15:37:00,1,24,30.0
12375.0,377.5,2,2011-09-02 14:23:00,2011-11-29 10:36:00,87,10,0.69
12377.0,1548.12,2,2010-12-20 09:37:00,2011-01-28 15:45:00,39,314,1.54
12379.0,777.24,2,2011-06-22 16:32:00,2011-09-19 10:09:00,88,81,0.68
12380.0,2427.81,4,2011-06-07 09:49:00,2011-11-18 11:27:00,164,21,0.73
12381.0,1474.81,3,2011-08-12 09:57:00,2011-12-05 12:44:00,115,4,0.78
12383.0,1628.56,5,2010-12-22 14:28:00,2011-06-08 08:02:00,167,184,0.9
12384.0,425.27,2,2011-08-10 11:23:00,2011-11-11 08:39:00,92,28,0.65
12386.0,401.9,2,2010-12-08 09:53:00,2011-01-06 12:37:00,29,337,2.07
12388.0,2780.66,6,2011-01-17 11:12:00,2011-11-24 12:30:00,311,15,0.58
12390.0,504.84,1,2011-09-21 09:33:00,2011-09-21 09:33:00,1,79,30.0
12391.0,460.89,1,2011-11-18 12:07:00,2011-11-18 12:07:00,1,21,30.0
12393.0,1582.6,4,2011-01-11 09:47:00,2011-09-28 15:41:00,260,71,0.46
12394.0,1080.48,2,2011-05-06 14:01:00,2011-10-07 08:08:00,153,63,0.39
12395.0,2682.63,12,2010-12-03 16:35:00,2011-11-20 15:21:00,351,18,1.03
12397.0,2214.9,2,2011-07-27 14:21:00,2011-11-04 09:52:00,99,35,0.61
12398.0,1435.66,1,2011-10-25 10:27:00,2011-10-25 10:27:00,1,45,30.0
12399.0,1033.65,4,2011-03-23 09:42:00,2011-08-12 13:15:00,142,118,0.85
12401.0,69.3,1,2011-02-09 13:50:00,2011-02-09 13:50:00,1,302,30.0
12402.0,195.6,1,2011-01-20 13:49:00,2011-01-20 13:49:00,1,322,30.0
12403.0,391.7,1,2011-10-21 10:51:00,2011-10-21 10:51:00,1,49,30.0
12405.0,1390.39,1,2011-07-14 08:52:00,2011-07-14 08:52:00,1,148,30.0
12406.0,3415.3,2,2011-06-09 10:23:00,2011-11-17 19:22:00,161,21,0.37
12407.0,1507.12,5,2011-03-20 13:21:00,2011-10-21 10:11:00,214,49,0.7
12408.0,2618.55,5,2011-03-24 14:46:00,2011-11-07 12:27:00,227,32,0.66
12410.0,533.33,2,2011-02-04 10:38:00,2011-02-04 10:39:00,1,308,60.0
12412.0,1142.88,3,2011-06-23 13:51:00,2011-09-26 10:16:00,94,74,0.96
12413.0,686.1,3,2011-01-06 16:12:00,2011-10-04 09:00:00,270,66,0.33
12414.0,442.41,3,2011-02-02 14:51:00,2011-05-06 14:51:00,93,216,0.97
12417.0,3226.1,9,2010-12-17 11:51:00,2011-12-06 14:52:00,354,2,0.76
12418.0,668.58,1,2011-08-19 11:08:00,2011-08-19 11:08:00,1,112,30.0
12420.0,600.39,1,2011-10-07 08:55:00,2011-10-07 08:55:00,1,63,30.0
12421.0,639.04,4,2011-01-24 15:09:00,2011-11-24 09:07:00,303,15,0.4
12422.0,683.5600000000001,3,2011-01-19 09:13:00,2011-09-05 09:48:00,229,95,0.39
12423.0,1634.31,8,2010-12-21 10:54:00,2011-12-09 10:10:00,352,0,0.68
12424.0,1760.96,2,2011-06-30 12:06:00,2011-06-30 12:06:00,1,162,60.0
12425.0,777.2,1,2011-09-22 17:31:00,2011-09-22 17:31:00,1,77,30.0
12426.0,510.73,1,2011-05-29 12:26:00,2011-05-29 12:26:00,1,194,30.0
12427.0,699.8,3,2010-12-03 10:44:00,2011-11-18 08:56:00,349,21,0.26
12429.0,3388.4,4,2010-12-09 12:05:00,2011-11-30 17:22:00,356,8,0.34
12430.0,216.4,1,2011-10-27 15:09:00,2011-10-27 15:09:00,1,42,30.0
12434.0,806.14,2,2011-03-24 13:05:00,2011-09-16 12:38:00,175,84,0.34
12436.0,429.0100000000001,1,2011-09-01 12:09:00,2011-09-01 12:09:00,1,99,30.0
12438.0,2466.85,2,2011-07-22 13:29:00,2011-11-25 13:28:00,125,13,0.48
12441.0,155.55,1,2010-12-08 10:45:00,2010-12-08 10:45:00,1,366,30.0
12442.0,144.06,1,2011-12-06 14:22:00,2011-12-06 14:22:00,1,2,30.0
12445.0,77.4,1,2011-11-17 18:43:00,2011-11-17 18:43:00,1,21,30.0
12446.0,1002.31,1,2011-10-13 12:50:00,2011-10-13 12:50:00,1,57,30.0
12447.0,431.49,1,2011-04-10 13:25:00,2011-04-10 13:25:00,1,242,30.0
12448.0,365.45,1,2011-10-26 13:46:00,2011-10-26 13:46:00,1,43,30.0
12449.0,3596.29,4,2011-06-05 15:37:00,2011-11-17 13:46:00,164,21,0.73
12450.0,197.88,2,2011-06-19 14:36:00,2011-07-06 14:41:00,17,155,3.53
12452.0,348.57,1,2011-11-23 08:05:00,2011-11-23 08:05:00,1,16,30.0
12453.0,707.09,1,2011-07-28 14:08:00,2011-07-28 14:08:00,1,133,30.0
12454.0,3528.34,1,2011-10-14 17:13:00,2011-10-14 17:13:00,1,55,30.0
12455.0,2339.86,5,2011-02-16 09:56:00,2011-09-27 15:31:00,223,72,0.67
12456.0,2581.04,3,2011-03-30 09:12:00,2011-10-26 14:41:00,210,43,0.43
12457.0,2043.23,6,2011-04-14 18:57:00,2011-10-04 13:13:00,172,65,1.05
12458.0,787.4,2,2011-02-28 10:55:00,2011-09-29 15:25:00,213,70,0.28
12461.0,626.88,1,2011-07-08 10:23:00,2011-07-08 10:23:00,1,154,30.0
12462.0,937.59,2,2011-02-09 14:44:00,2011-11-21 09:11:00,284,18,0.21
12463.0,1200.78,4,2011-04-12 12:47:00,2011-10-17 13:44:00,188,52,0.64
12464.0,957.05,8,2011-02-03 13:30:00,2011-11-29 13:33:00,299,9,0.8
12465.0,682.1899999999999,2,2011-06-23 13:37:00,2011-11-22 16:34:00,152,16,0.39
12468.0,657.54,2,2011-01-27 13:29:00,2011-06-05 11:36:00,128,187,0.47
12473.0,2596.23,3,2011-06-01 10:15:00,2011-10-17 11:27:00,138,53,0.65
12475.0,669.38,1,2011-10-17 10:10:00,2011-10-17 10:10:00,1,53,30.0
12478.0,545.99,1,2011-12-06 09:56:00,2011-12-06 09:56:00,1,3,30.0
12479.0,473.2,1,2011-11-28 13:26:00,2011-11-28 13:26:00,1,10,30.0
12480.0,2885.63,4,2011-01-07 15:27:00,2011-11-11 14:52:00,307,27,0.39
12483.0,1910.98,8,2011-01-04 14:20:00,2011-11-22 17:02:00,322,16,0.75
12488.0,1244.66,3,2011-09-25 10:34:00,2011-11-30 08:50:00,65,9,1.38
12489.0,298.93,1,2011-01-07 13:13:00,2011-01-07 13:13:00,1,335,30.0
12491.0,424.4,1,2011-11-01 12:18:00,2011-11-01 12:18:00,1,38,30.0
12492.0,227.21,2,2011-08-26 14:51:00,2011-10-07 15:15:00,42,62,1.43
12493.0,379.74,2,2011-05-26 14:53:00,2011-06-27 10:17:00,31,165,1.94
12494.0,1084.1,7,2010-12-09 11:31:00,2011-11-24 09:34:00,349,15,0.6
12497.0,953.1,1,2011-09-19 12:29:00,2011-09-19 12:29:00,1,81,30.0
12498.0,349.70000000000005,3,2011-10-13 09:30:00,2011-11-18 12:53:00,36,20,2.5
12501.0,2025.39,1,2011-01-07 12:28:00,2011-01-07 12:28:00,1,336,30.0
12502.0,2995.87,5,2011-02-03 10:41:00,2011-09-05 11:52:00,214,95,0.7
