purchase_number,total_orders,avg_order_amount,avg_days_gap_between_purchases
1,4334,56.64,
2,4261,39.3,1.77
3,4211,69.49,1.6
4,4154,27.82,2.01
5,4106,27.36,1.47
6,4038,25.03,2.4
7,3961,25.02,1.55
8,3894,24.07,2.03
9,3828,22.32,2.6
10,3753,23.36,2.48
11,3667,21.97,2.31
12,3597,21.67,2.54
13,3533,21.98,2.42
14,3468,22.65,2.58
15,3409,21.41,2.79
16,3336,20.59,3.4
17,3279,20.46,4.05
18,3222,20.62,3.09
19,3167,20.83,2.2
20,3105,21.22,2.76
21,3041,19.42,2.87
22,2982,21.03,2.1
23,2937,22.15,2.31
24,2884,21.43,3.09
25,2844,20.76,2.19
26,2787,22.72,1.52
27,2742,21.13,2.78
28,2697,21.59,1.82
29,2630,21.02,2.08
30,2573,18.39,2.59
31,2525,22.34,2.73
32,2482,21.15,1.9
33,2454,21.87,2.15
34,2416,20.39,2.13
35,2378,20.49,2.48
36,2332,22.23,2.46
37,2312,20.98,1.73
38,2280,20.63,1.78
39,2246,21.08,2.58
40,2212,19.85,2.7
41,2186,21.59,2.0
42,2153,21.8,2.36
43,2118,21.89,2.13
44,2088,19.97,2.27
45,2063,20.38,1.67
46,2029,19.22,1.43
47,2001,19.17,1.71
48,1970,19.55,1.86
49,1945,18.76,1.8
50,1923,18.56,2.1
51,1899,20.14,1.83
52,1879,20.29,1.81
53,1853,18.6,1.92
54,1824,20.68,2.05
55,1802,18.86,2.32
56,1780,19.9,1.75
57,1768,19.81,1.75
58,1741,19.9,1.77
59,1713,20.4,1.57
60,1695,18.5,1.74
61,1673,18.48,2.17
62,1653,19.56,2.18
63,1630,20.12,2.28
64,1606,20.17,2.24
65,1590,18.52,2.0
66,1575,19.24,2.19
67,1559,19.23,1.7
68,1540,18.86,1.84
69,1526,20.1,1.59
70,1499,19.64,1.85
71,1484,19.68,1.7
72,1467,18.63,1.46
73,1451,19.86,1.46
74,1439,20.38,1.49
75,1424,19.81,1.31
76,1412,19.32,1.97
77,1395,18.13,1.85
78,1381,19.45,2.06
79,1361,19.52,1.42
80,1345,20.56,1.44
81,1335,20.9,1.26
82,1325,20.52,1.38
83,1305,21.64,1.34
84,1292,21.44,1.53
85,1276,20.78,1.01
86,1264,19.76,1.05
87,1248,19.65,1.12
88,1228,22.44,1.46
89,1219,19.9,1.24
90,1207,21.38,1.68
91,1194,21.22,1.51
92,1182,19.46,1.0
93,1170,21.82,1.44
94,1161,21.41,1.84
95,1150,20.58,1.69
96,1143,21.87,1.26
97,1132,19.67,1.26
98,1115,19.49,1.36
99,1097,21.16,0.93
100,1085,20.72,1.17
101,1072,23.08,0.99
102,1059,19.33,1.11
103,1042,19.28,2.23
104,1030,18.91,1.13
105,1022,19.63,1.68
106,1014,21.32,1.21
107,1007,24.32,1.28
108,997,23.17,1.49
109,987,21.81,1.06
110,974,22.25,1.15
111,964,19.92,1.57
112,949,18.77,1.09
113,942,20.86,1.51
114,936,18.98,0.73
115,926,23.03,1.14
116,915,21.13,1.53
117,908,20.29,0.8
118,892,21.23,0.74
119,882,19.83,1.42
120,876,20.56,1.02
121,869,20.19,1.71
122,860,20.4,0.9
123,855,21.81,0.78
124,845,21.88,0.77
